,pmphost7 Linux Network Interface eth3 (ethernet)
2014-03-18 21:30:00,687124.42862
2014-03-18 21:40:00,648438.09056
2014-03-18 21:50:00,635605.55768
2014-03-18 22:00:00,660285.81785
2014-03-18 22:10:00,623082.7961
2014-03-18 22:20:00,615237.26932
2014-03-18 22:30:00,580764.2339
2014-03-18 22:40:00,549716.64075
2014-03-18 22:50:00,561154.71782
2014-03-18 23:00:00,570738.12242
2014-03-18 23:10:00,537191.1677
2014-03-18 23:20:00,542175.94562
2014-03-18 23:30:00,484561.00967
2014-03-18 23:40:00,508206.00079
2014-03-18 23:50:00,473969.78576
2014-03-19 00:00:00,457277.89592
2014-03-19 00:10:00,492838.93531
2014-03-19 00:20:00,470737.30855
2014-03-19 00:30:00,470507.88386
2014-03-19 00:40:00,448063.06282
2014-03-19 00:50:00,428892.272
2014-03-19 01:00:00,412483.8907
2014-03-19 01:10:00,430158.38271
2014-03-19 01:20:00,406910.37205
2014-03-19 01:30:00,414311.78728
2014-03-19 01:40:00,403166.77775
2014-03-19 01:50:00,382937.94446
2014-03-19 02:00:00,377069.92537
2014-03-19 02:10:00,366206.93057
2014-03-19 02:20:00,366600.39365
2014-03-19 02:30:00,368711.43464
2014-03-19 02:40:00,366114.19647
2014-03-19 02:50:00,360082.09706
2014-03-19 03:00:00,376657.37375
2014-03-19 03:10:00,354680.03213
2014-03-19 03:20:00,344823.74107
2014-03-19 03:30:00,374224.1862
2014-03-19 03:40:00,347888.51332
2014-03-19 03:50:00,380143.4124
2014-03-19 04:00:00,346818.86845
2014-03-19 04:10:00,367075.65344
2014-03-19 04:20:00,357452.05594
2014-03-19 04:30:00,353717.43148
2014-03-19 04:40:00,363878.08691
2014-03-19 04:50:00,353356.0168
2014-03-19 05:00:00,402662.64217
2014-03-19 05:10:00,395164.18294
2014-03-19 05:20:00,369580.00077
2014-03-19 05:30:00,371976.1638
2014-03-19 05:40:00,411455.23818
2014-03-19 05:50:00,430334.31075
2014-03-19 06:00:00,416473.23464
2014-03-19 06:10:00,372592.95071
2014-03-19 06:20:00,386279.95334
2014-03-19 06:30:00,367071.89684
2014-03-19 06:40:00,383467.42607
2014-03-19 06:50:00,397456.04679
2014-03-19 07:00:00,413752.05406
2014-03-19 07:10:00,457796.19641
2014-03-19 07:20:00,469841.84826
2014-03-19 07:30:00,464466.11785
2014-03-19 07:40:00,477553.9803
2014-03-19 07:50:00,503625.33121
2014-03-19 08:00:00,505232.87822
2014-03-19 08:10:00,551467.83054
2014-03-19 08:20:00,523459.86922
2014-03-19 08:30:00,522143.34635
2014-03-19 08:40:00,539863.89978
2014-03-19 08:50:00,590504.02527
2014-03-19 09:00:00,624449.3826
2014-03-19 09:10:00,711613.30275
2014-03-19 09:20:00,650523.69097
2014-03-19 09:30:00,628173.97987
2014-03-19 09:40:00,679946.83443
2014-03-19 09:50:00,684852.00546
2014-03-19 10:00:00,658984.89029
2014-03-19 10:10:00,701891.51028
2014-03-19 10:20:00,706035.29959
2014-03-19 10:30:00,701941.24127
2014-03-19 10:40:00,681828.9354
2014-03-19 10:50:00,672742.25424
2014-03-19 11:00:00,710216.71923
2014-03-19 11:10:00,1040644.56017
2014-03-19 11:20:00,795784.75648
2014-03-19 11:30:00,905507.28684
2014-03-19 11:40:00,888618.94214
2014-03-19 11:50:00,899591.2099
2014-03-19 12:00:00,919670.24979
2014-03-19 12:10:00,874835.94704
2014-03-19 12:20:00,896039.31196
2014-03-19 12:30:00,867835.5421
2014-03-19 12:40:00,884615.41757
2014-03-19 12:50:00,902024.71267
2014-03-19 13:00:00,800600.82034
2014-03-19 13:10:00,935247.75258
2014-03-19 13:20:00,821139.15548
2014-03-19 13:30:00,849086.96775
2014-03-19 13:40:00,855734.02507
2014-03-19 13:50:00,858460.23745
2014-03-19 14:00:00,857778.73457
2014-03-19 14:10:00,803287.44958
2014-03-19 14:20:00,801927.7977
2014-03-19 14:30:00,808662.52975
2014-03-19 14:40:00,813314.72029
2014-03-19 14:50:00,714806.42753
2014-03-19 15:00:00,716171.26237
2014-03-19 15:10:00,743297.53227
2014-03-19 15:20:00,859182.46178
2014-03-19 15:30:00,629707.3907
2014-03-19 15:40:00,608918.06492
2014-03-19 15:50:00,611058.13211
2014-03-19 16:00:00,741636.10866
2014-03-19 16:10:00,666422.99762
2014-03-19 16:20:00,677827.55236
2014-03-19 16:30:00,627228.14043
2014-03-19 16:40:00,627528.69561
2014-03-19 16:50:00,620126.78202
2014-03-19 17:00:00,595903.90799
2014-03-19 17:10:00,605809.33296
2014-03-19 17:20:00,638171.11739
2014-03-19 17:30:00,663712.35118
2014-03-19 17:40:00,645254.34613
2014-03-19 17:50:00,660405.0148
2014-03-19 18:00:00,616924.5507
2014-03-19 18:10:00,661888.78036
2014-03-19 18:20:00,630114.47879
2014-03-19 18:30:00,659221.73115
2014-03-19 18:40:00,643440.88477
2014-03-19 18:50:00,647844.79592
2014-03-19 19:00:00,621975.00096
2014-03-19 19:10:00,663108.27306
2014-03-19 19:20:00,698731.23167
2014-03-19 19:30:00,718965.86125
2014-03-19 19:40:00,713454.10783
2014-03-19 19:50:00,821117.47228
2014-03-19 20:00:00,723244.58928
2014-03-19 20:10:00,733312.37698
2014-03-19 20:20:00,730219.20721
2014-03-19 20:30:00,683591.56326
2014-03-19 20:40:00,717859.04084
2014-03-19 20:50:00,701027.30163
2014-03-19 21:00:00,664144.62937
2014-03-19 21:10:00,675128.61443
2014-03-19 21:20:00,653728.88183
2014-03-19 21:30:00,630010.11835
2014-03-19 21:40:00,650785.52204
2014-03-19 21:50:00,617074.07469
2014-03-19 22:00:00,587271.0371
2014-03-19 22:10:00,577299.43937
2014-03-19 22:20:00,572346.6194
2014-03-19 22:30:00,548842.07597
2014-03-19 22:40:00,565310.51174
2014-03-19 22:50:00,594030.93402
2014-03-19 23:00:00,634672.64608
2014-03-19 23:10:00,518882.9797
2014-03-19 23:20:00,532071.31927
2014-03-19 23:30:00,500426.99434
2014-03-19 23:40:00,474735.71965
2014-03-19 23:50:00,455140.98609
2014-03-20 00:00:00,446469.43649
2014-03-20 00:10:00,433364.27293
2014-03-20 00:20:00,431847.305
