,pmphost7 Linux Network Interface eth0 (ethernet)
2014-03-18 21:30:00,605538.1071
2014-03-18 21:40:00,586478.07513
2014-03-18 21:50:00,578737.75738
2014-03-18 22:00:00,582191.88234
2014-03-18 22:10:00,584735.57958
2014-03-18 22:20:00,568929.50349
2014-03-18 22:30:00,550857.80809
2014-03-18 22:40:00,519462.67025
2014-03-18 22:50:00,544787.7398
2014-03-18 23:00:00,538716.10708
2014-03-18 23:10:00,531960.14475
2014-03-18 23:20:00,529650.92478
2014-03-18 23:30:00,488071.24454
2014-03-18 23:40:00,510228.96352
2014-03-18 23:50:00,478337.98258
2014-03-19 00:00:00,472747.73761
2014-03-19 00:10:00,489630.56887
2014-03-19 00:20:00,468249.6208
2014-03-19 00:30:00,481244.27473
2014-03-19 00:40:00,462572.56266
2014-03-19 00:50:00,456397.26849
2014-03-19 01:00:00,442652.25565
2014-03-19 01:10:00,460269.69852
2014-03-19 01:20:00,429842.38549
2014-03-19 01:30:00,437520.0294
2014-03-19 01:40:00,438772.22701
2014-03-19 01:50:00,425393.64474
2014-03-19 02:00:00,423364.54278
2014-03-19 02:10:00,419888.79852
2014-03-19 02:20:00,412224.41493
2014-03-19 02:30:00,417027.32879
2014-03-19 02:40:00,404636.17908
2014-03-19 02:50:00,407845.93041
2014-03-19 03:00:00,418284.91778
2014-03-19 03:10:00,396337.29701
2014-03-19 03:20:00,390900.63464
2014-03-19 03:30:00,414702.35169
2014-03-19 03:40:00,401066.22097
2014-03-19 03:50:00,423429.17645
2014-03-19 04:00:00,409269.94329
2014-03-19 04:10:00,414312.93851
2014-03-19 04:20:00,397124.03704
2014-03-19 04:30:00,400436.12095
2014-03-19 04:40:00,419494.97813
2014-03-19 04:50:00,398542.49699
2014-03-19 05:00:00,441365.43324
2014-03-19 05:10:00,419378.16199
2014-03-19 05:20:00,422145.47254
2014-03-19 05:30:00,405093.02826
2014-03-19 05:40:00,427160.98723
2014-03-19 05:50:00,455712.40364
2014-03-19 06:00:00,445068.64152
2014-03-19 06:10:00,405542.14034
2014-03-19 06:20:00,410491.77216
2014-03-19 06:30:00,398360.83983
2014-03-19 06:40:00,409168.41326
2014-03-19 06:50:00,426980.13598
2014-03-19 07:00:00,467118.63895
2014-03-19 07:10:00,534152.03288
2014-03-19 07:20:00,551973.44493
2014-03-19 07:30:00,551905.66811
2014-03-19 07:40:00,543533.11396
2014-03-19 07:50:00,549705.07296
2014-03-19 08:00:00,547738.83218
2014-03-19 08:10:00,537332.19997
2014-03-19 08:20:00,506271.29899
2014-03-19 08:30:00,504868.12713
2014-03-19 08:40:00,493128.15649
2014-03-19 08:50:00,518988.52577
2014-03-19 09:00:00,528269.38929
2014-03-19 09:10:00,547280.56916
2014-03-19 09:20:00,566302.2099
2014-03-19 09:30:00,565702.62013
2014-03-19 09:40:00,561328.8222
2014-03-19 09:50:00,560927.54276
2014-03-19 10:00:00,567586.01649
2014-03-19 10:10:00,583859.07285
2014-03-19 10:20:00,573780.5654
2014-03-19 10:30:00,593941.43262
2014-03-19 10:40:00,581693.10028
2014-03-19 10:50:00,576781.26808
2014-03-19 11:00:00,561528.78196
2014-03-19 11:10:00,588734.49826
2014-03-19 11:20:00,667018.77443
2014-03-19 11:30:00,749844.35922
2014-03-19 11:40:00,736568.82801
2014-03-19 11:50:00,738491.37552
2014-03-19 12:00:00,759891.77755
2014-03-19 12:10:00,702001.66139
2014-03-19 12:20:00,724348.1476
2014-03-19 12:30:00,737654.11687
2014-03-19 12:40:00,721668.65574
2014-03-19 12:50:00,739560.96061
2014-03-19 13:00:00,702776.5619
2014-03-19 13:10:00,765935.87841
2014-03-19 13:20:00,715086.87137
2014-03-19 13:30:00,760959.30602
2014-03-19 13:40:00,762539.7187
2014-03-19 13:50:00,763315.8691
2014-03-19 14:00:00,742028.82913
2014-03-19 14:10:00,725232.87742
2014-03-19 14:20:00,730698.4908
2014-03-19 14:30:00,699196.31122
2014-03-19 14:40:00,681673.47728
2014-03-19 14:50:00,597919.83655
2014-03-19 15:00:00,581689.91611
2014-03-19 15:10:00,611396.39565
2014-03-19 15:20:00,668114.04134
2014-03-19 15:30:00,549805.04627
2014-03-19 15:40:00,559595.18912
2014-03-19 15:50:00,554641.19793
2014-03-19 16:00:00,635798.91178
2014-03-19 16:10:00,556102.45071
2014-03-19 16:20:00,569968.11476
2014-03-19 16:30:00,562375.38173
2014-03-19 16:40:00,563176.66765
2014-03-19 16:50:00,587914.4239
2014-03-19 17:00:00,552661.31549
2014-03-19 17:10:00,553924.57217
2014-03-19 17:20:00,574425.97361
2014-03-19 17:30:00,574445.76077
2014-03-19 17:40:00,555461.46474
2014-03-19 17:50:00,588389.13268
2014-03-19 18:00:00,562248.67436
2014-03-19 18:10:00,590313.19821
2014-03-19 18:20:00,566829.80401
2014-03-19 18:30:00,600741.46189
2014-03-19 18:40:00,579848.89821
2014-03-19 18:50:00,580709.73203
2014-03-19 19:00:00,576226.33077
2014-03-19 19:10:00,594418.95065
2014-03-19 19:20:00,623190.57421
2014-03-19 19:30:00,619451.46098
2014-03-19 19:40:00,612261.14213
2014-03-19 19:50:00,647077.08549
2014-03-19 20:00:00,618820.17389
2014-03-19 20:10:00,642359.63887
2014-03-19 20:20:00,638457.66748
2014-03-19 20:30:00,596147.28755
2014-03-19 20:40:00,622582.9112
2014-03-19 20:50:00,580864.80285
2014-03-19 21:00:00,590898.37896
2014-03-19 21:10:00,604812.0165
2014-03-19 21:20:00,585080.28144
2014-03-19 21:30:00,565972.20217
2014-03-19 21:40:00,579854.40113
2014-03-19 21:50:00,571030.83253
2014-03-19 22:00:00,547972.18449
2014-03-19 22:10:00,535978.96275
2014-03-19 22:20:00,549366.09534
2014-03-19 22:30:00,526590.62457
2014-03-19 22:40:00,531040.36892
2014-03-19 22:50:00,544638.43179
2014-03-19 23:00:00,553728.73813
2014-03-19 23:10:00,508760.31255
2014-03-19 23:20:00,510433.81589
2014-03-19 23:30:00,496596.84518
2014-03-19 23:40:00,484172.03591
2014-03-19 23:50:00,463676.43392
2014-03-20 00:00:00,462432.83376
2014-03-20 00:10:00,450669.89413
2014-03-20 00:20:00,470509.98262
2014-03-20 00:30:00,436662.77559
2014-03-20 00:40:00,439283.63496
2014-03-20 00:50:00,430621.01072
2014-03-20 01:00:00,425647.66037
2014-03-20 01:10:00,425689.89186
2014-03-20 01:20:00,421765.47376
2014-03-20 01:30:00,403299.27185
2014-03-20 01:40:00,398625.89807
2014-03-20 01:50:00,395425.83254
2014-03-20 02:00:00,392190.42214
2014-03-20 02:10:00,418212.31662
2014-03-20 02:20:00,403947.91611
2014-03-20 02:30:00,386811.50312
2014-03-20 02:40:00,378950.61228
2014-03-20 02:50:00,393163.57421
2014-03-20 03:00:00,396648.40581
2014-03-20 03:10:00,380962.68073
2014-03-20 03:20:00,372722.96636
2014-03-20 03:30:00,389686.75249
2014-03-20 03:40:00,383968.80427
2014-03-20 03:50:00,380566.28046
2014-03-20 04:00:00,381725.23596
2014-03-20 04:10:00,373273.8773
2014-03-20 04:20:00,388931.97605
2014-03-20 04:30:00,376260.25592
2014-03-20 04:40:00,370969.64837
2014-03-20 04:50:00,382105.36122
2014-03-20 05:00:00,382637.74901
2014-03-20 05:10:00,455935.81055
2014-03-20 05:20:00,452416.64236
2014-03-20 05:30:00,411149.18515
2014-03-20 05:40:00,426303.50044
2014-03-20 05:50:00,481725.08666
2014-03-20 06:00:00,469915.14943
2014-03-20 06:10:00,477700.82139
2014-03-20 06:20:00,459488.85175
2014-03-20 06:30:00,477861.76986
2014-03-20 06:40:00,484504.57263
2014-03-20 06:50:00,578461.41516
2014-03-20 07:00:00,28.73391
2014-03-20 07:10:00,28.83444
2014-03-20 07:20:00,29.23338
2014-03-20 07:30:00,28.43262
2014-03-20 07:40:00,56753.14624
2014-03-20 07:50:00,507100.39308
2014-03-20 08:00:00,589248.09555
2014-03-20 08:10:00,572344.75683
2014-03-20 08:20:00,477989.198
2014-03-20 08:30:00,439209.51013
2014-03-20 08:40:00,431442.55567
