,pmphost7 Linux Network Interface eth3 (ethernet)
2014-03-18 21:30:00,649893.17073
2014-03-18 21:40:00,624120.67537
2014-03-18 21:50:00,613133.27333
2014-03-18 22:00:00,620824.16282
2014-03-18 22:10:00,600769.22359
2014-03-18 22:20:00,592867.24814
2014-03-18 22:30:00,560680.92504
2014-03-18 22:40:00,532695.80586
2014-03-18 22:50:00,544296.73518
2014-03-18 23:00:00,541566.43562
2014-03-18 23:10:00,520574.25579
2014-03-18 23:20:00,527119.80674
2014-03-18 23:30:00,470765.64406
2014-03-18 23:40:00,493987.17066
2014-03-18 23:50:00,461609.62309
2014-03-19 00:00:00,445799.02036
2014-03-19 00:10:00,468847.67327
2014-03-19 00:20:00,458756.17509
2014-03-19 00:30:00,459206.87511
2014-03-19 00:40:00,436317.85802
2014-03-19 00:50:00,418380.72192
2014-03-19 01:00:00,402320.3938
2014-03-19 01:10:00,418866.59811
2014-03-19 01:20:00,396573.30748
2014-03-19 01:30:00,403941.62864
2014-03-19 01:40:00,394582.55227
2014-03-19 01:50:00,374255.08059
2014-03-19 02:00:00,368534.32858
2014-03-19 02:10:00,358371.82312
2014-03-19 02:20:00,358764.93872
2014-03-19 02:30:00,361025.33272
2014-03-19 02:40:00,359413.06007
2014-03-19 02:50:00,352758.82291
2014-03-19 03:00:00,367313.70068
2014-03-19 03:10:00,346100.21931
2014-03-19 03:20:00,337355.89435
2014-03-19 03:30:00,365157.131
2014-03-19 03:40:00,340202.90609
2014-03-19 03:50:00,371233.74102
2014-03-19 04:00:00,340395.71463
2014-03-19 04:10:00,356875.91575
2014-03-19 04:20:00,349212.88267
2014-03-19 04:30:00,345950.68666
2014-03-19 04:40:00,356333.14166
2014-03-19 04:50:00,344718.46071
2014-03-19 05:00:00,392521.26406
2014-03-19 05:10:00,383958.9176
2014-03-19 05:20:00,360794.02613
2014-03-19 05:30:00,362180.76101
2014-03-19 05:40:00,398372.4163
2014-03-19 05:50:00,416946.11434
2014-03-19 06:00:00,405283.34922
2014-03-19 06:10:00,363367.34078
2014-03-19 06:20:00,376628.76521
2014-03-19 06:30:00,358284.37151
2014-03-19 06:40:00,372904.35742
2014-03-19 06:50:00,387636.41802
2014-03-19 07:00:00,404836.2585
2014-03-19 07:10:00,447463.8467
2014-03-19 07:20:00,459588.60714
2014-03-19 07:30:00,454212.97994
2014-03-19 07:40:00,466005.02747
2014-03-19 07:50:00,490543.89868
2014-03-19 08:00:00,491419.7085
2014-03-19 08:10:00,522467.29555
2014-03-19 08:20:00,495664.41759
2014-03-19 08:30:00,505153.29637
2014-03-19 08:40:00,508542.51746
2014-03-19 08:50:00,534729.72198
2014-03-19 09:00:00,545010.03132
2014-03-19 09:10:00,582615.63376
2014-03-19 09:20:00,614275.4665
2014-03-19 09:30:00,603361.78271
2014-03-19 09:40:00,608875.94811
2014-03-19 09:50:00,612340.48189
2014-03-19 10:00:00,621636.58661
2014-03-19 10:10:00,616916.90961
2014-03-19 10:20:00,663989.05216
2014-03-19 10:30:00,660681.14681
2014-03-19 10:40:00,630460.80176
2014-03-19 10:50:00,647332.85715
2014-03-19 11:00:00,636365.46335
2014-03-19 11:10:00,674676.60903
2014-03-19 11:20:00,804451.10123
2014-03-19 11:30:00,806270.80299
2014-03-19 11:40:00,776720.92779
2014-03-19 11:50:00,793287.2181
2014-03-19 12:00:00,807612.44356
2014-03-19 12:10:00,740519.32745
2014-03-19 12:20:00,776463.52378
2014-03-19 12:30:00,779092.40798
2014-03-19 12:40:00,774075.78771
2014-03-19 12:50:00,795239.1074
2014-03-19 13:00:00,717899.55383
2014-03-19 13:10:00,832382.09962
2014-03-19 13:20:00,738376.48822
2014-03-19 13:30:00,772041.87646
2014-03-19 13:40:00,765104.6674
2014-03-19 13:50:00,776604.14247
2014-03-19 14:00:00,772075.59483
2014-03-19 14:10:00,723705.85853
2014-03-19 14:20:00,725163.02063
2014-03-19 14:30:00,699584.89009
2014-03-19 14:40:00,711606.79295
2014-03-19 14:50:00,647531.19771
2014-03-19 15:00:00,637764.3484
2014-03-19 15:10:00,685036.88761
2014-03-19 15:20:00,778055.4414
2014-03-19 15:30:00,591236.56235
2014-03-19 15:40:00,585435.1457
2014-03-19 15:50:00,574852.23657
2014-03-19 16:00:00,704772.93392
2014-03-19 16:10:00,604009.40621
2014-03-19 16:20:00,601265.48914
2014-03-19 16:30:00,581860.56506
2014-03-19 16:40:00,590004.31985
2014-03-19 16:50:00,597928.21097
2014-03-19 17:00:00,571049.08447
2014-03-19 17:10:00,581863.01696
2014-03-19 17:20:00,603152.86759
2014-03-19 17:30:00,614719.43734
2014-03-19 17:40:00,607969.92051
2014-03-19 17:50:00,612027.52856
2014-03-19 18:00:00,593717.39351
2014-03-19 18:10:00,633970.0679
2014-03-19 18:20:00,605269.84918
2014-03-19 18:30:00,633657.03525
2014-03-19 18:40:00,616257.76841
2014-03-19 18:50:00,622576.15304
2014-03-19 19:00:00,598534.38743
2014-03-19 19:10:00,637613.69454
2014-03-19 19:20:00,669575.08
2014-03-19 19:30:00,675110.27762
2014-03-19 19:40:00,671825.25753
2014-03-19 19:50:00,781207.28868
2014-03-19 20:00:00,690143.13242
2014-03-19 20:10:00,701656.09766
2014-03-19 20:20:00,697885.95165
2014-03-19 20:30:00,654592.90494
2014-03-19 20:40:00,676073.74479
2014-03-19 20:50:00,658303.45757
2014-03-19 21:00:00,636300.65912
2014-03-19 21:10:00,648237.53137
2014-03-19 21:20:00,617006.15947
2014-03-19 21:30:00,604211.2252
2014-03-19 21:40:00,615443.06158
2014-03-19 21:50:00,594251.66965
2014-03-19 22:00:00,568278.24236
2014-03-19 22:10:00,556632.21768
2014-03-19 22:20:00,553421.15536
2014-03-19 22:30:00,530361.44753
2014-03-19 22:40:00,537583.45214
2014-03-19 22:50:00,562533.94878
2014-03-19 23:00:00,608601.90483
2014-03-19 23:10:00,503735.82947
2014-03-19 23:20:00,504007.73767
2014-03-19 23:30:00,485499.34002
2014-03-19 23:40:00,463622.05356
2014-03-19 23:50:00,443695.53159
2014-03-20 00:00:00,435961.75041
2014-03-20 00:10:00,421309.24704
2014-03-20 00:20:00,422755.07833
2014-03-20 00:30:00,404497.20824
2014-03-20 00:40:00,397876.99244
2014-03-20 00:50:00,380038.02274
2014-03-20 01:00:00,369607.23981
2014-03-20 01:10:00,367066.45915
2014-03-20 01:20:00,360922.52088
2014-03-20 01:30:00,342116.44105
2014-03-20 01:40:00,329106.91806
2014-03-20 01:50:00,342233.45339
2014-03-20 02:00:00,317944.26406
2014-03-20 02:10:00,353592.95599
2014-03-20 02:20:00,356935.8603
2014-03-20 02:30:00,319370.3792
2014-03-20 02:40:00,304480.20285
2014-03-20 02:50:00,315784.71588
2014-03-20 03:00:00,316895.45492
2014-03-20 03:10:00,302491.33751
2014-03-20 03:20:00,300177.53164
2014-03-20 03:30:00,305807.9422
2014-03-20 03:40:00,300375.74604
2014-03-20 03:50:00,301850.73415
2014-03-20 04:00:00,289052.42436
2014-03-20 04:10:00,291259.38892
2014-03-20 04:20:00,301347.46624
2014-03-20 04:30:00,300684.56748
2014-03-20 04:40:00,309750.34881
2014-03-20 04:50:00,356725.89513
2014-03-20 05:00:00,515782.41812
2014-03-20 05:10:00,461000.105
2014-03-20 05:20:00,360979.19813
2014-03-20 05:30:00,353855.84155
2014-03-20 05:40:00,357639.79166
2014-03-20 05:50:00,398985.68365
2014-03-20 06:00:00,395862.4626
2014-03-20 06:10:00,443866.1702
2014-03-20 06:20:00,542122.73726
2014-03-20 06:30:00,498396.20858
2014-03-20 06:40:00,490261.81
2014-03-20 06:50:00,141342.78454
2014-03-20 07:00:00,597.88758
2014-03-20 07:10:00,623.90603
2014-03-20 07:20:00,716.21047
2014-03-20 07:30:00,599.86966
2014-03-20 07:40:00,12402.55072
2014-03-20 07:50:00,402939.78911
2014-03-20 08:00:00,638560.62197
2014-03-20 08:10:00,602173.51563
2014-03-20 08:20:00,424363.95891
2014-03-20 08:30:00,234214.51764
2014-03-20 08:40:00,157675.58325
2014-03-20 08:50:00,490141.54492
2014-03-20 09:00:00,523875.50876
2014-03-20 09:10:00,563599.42159
2014-03-20 09:20:00,587953.72349
2014-03-20 09:30:00,577643.59205
2014-03-20 09:40:00,737802.87221
2014-03-20 09:50:00,658384.42848
2014-03-20 10:00:00,614056.26438
2014-03-20 10:10:00,601600.04733
2014-03-20 10:20:00,606118.95107
2014-03-20 10:30:00,624212.32841
2014-03-20 10:40:00,637528.5894
2014-03-20 10:50:00,675089.39185
2014-03-20 11:00:00,662016.15645
2014-03-20 11:10:00,646060.91887
2014-03-20 11:20:00,629388.65117
2014-03-20 11:30:00,654038.315
2014-03-20 11:40:00,685641.98014
2014-03-20 11:50:00,805997.79124
2014-03-20 12:00:00,665224.39137
2014-03-20 12:10:00,639081.87091
2014-03-20 12:20:00,631810.01257
2014-03-20 12:30:00,633072.49606
2014-03-20 12:40:00,649607.62899
2014-03-20 12:50:00,656632.34172
2014-03-20 13:00:00,642039.15653
2014-03-20 13:10:00,659993.07818
2014-03-20 13:20:00,658604.45593
2014-03-20 13:30:00,640495.27149
2014-03-20 13:40:00,610597.88461
2014-03-20 13:50:00,607789.2335
2014-03-20 14:00:00,595908.31709
2014-03-20 14:10:00,585342.50841
2014-03-20 14:20:00,575931.54402
2014-03-20 14:30:00,549586.25373
2014-03-20 14:40:00,556928.38059
2014-03-20 14:50:00,575954.90476
2014-03-20 15:00:00,584667.97706
2014-03-20 15:10:00,564698.55064
2014-03-20 15:20:00,565681.85431
2014-03-20 15:30:00,551505.26995
2014-03-20 15:40:00,586487.03252
2014-03-20 15:50:00,546113.3149
2014-03-20 16:00:00,548434.52493
2014-03-20 16:10:00,575177.58365
2014-03-20 16:20:00,599388.69363
2014-03-20 16:30:00,588391.66644
2014-03-20 16:40:00,607199.19126
2014-03-20 16:50:00,562170.91373
2014-03-20 17:00:00,566809.64611
2014-03-20 17:10:00,586370.71004
2014-03-20 17:20:00,590729.46307
2014-03-20 17:30:00,607792.70807
2014-03-20 17:40:00,604367.95806
2014-03-20 17:50:00,563044.03321
2014-03-20 18:00:00,587582.08861
2014-03-20 18:10:00,574277.21944
2014-03-20 18:20:00,620512.68915
2014-03-20 18:30:00,601597.23514
2014-03-20 18:40:00,609595.58499
2014-03-20 18:50:00,614748.3854
2014-03-20 19:00:00,598054.22071
2014-03-20 19:10:00,643667.50932
2014-03-20 19:20:00,627331.09329
2014-03-20 19:30:00,624641.01803
2014-03-20 19:40:00,661592.63221
2014-03-20 19:50:00,658773.49679
2014-03-20 20:00:00,688981.3829
2014-03-20 20:10:00,681504.04587
2014-03-20 20:20:00,677111.19037
2014-03-20 20:30:00,654175.6286
2014-03-20 20:40:00,661655.63736
2014-03-20 20:50:00,667711.15126
2014-03-20 21:00:00,648351.71613
2014-03-20 21:10:00,640143.19594
2014-03-20 21:20:00,613480.46665
2014-03-20 21:30:00,614090.49317
2014-03-20 21:40:00,649828.34658
2014-03-20 21:50:00,578111.61762
2014-03-20 22:00:00,562555.60167
2014-03-20 22:10:00,551004.83768
2014-03-20 22:20:00,536522.30865
2014-03-20 22:30:00,526234.48172
2014-03-20 22:40:00,528524.30514
2014-03-20 22:50:00,504622.53903
2014-03-20 23:00:00,590857.50264
2014-03-20 23:10:00,487860.5626
2014-03-20 23:20:00,474699.83548
2014-03-20 23:30:00,456784.83379
2014-03-20 23:40:00,459021.52097
2014-03-20 23:50:00,449689.89904
2014-03-21 00:00:00,429789.85146
2014-03-21 00:10:00,425951.65239
2014-03-21 00:20:00,440291.97568
2014-03-21 00:30:00,387282.99104
2014-03-21 00:40:00,422888.53242
2014-03-21 00:50:00,516104.92892
2014-03-21 01:00:00,374751.19343
2014-03-21 01:10:00,369204.32113
2014-03-21 01:20:00,365130.44804
2014-03-21 01:30:00,364874.1638
2014-03-21 01:40:00,353073.02818
2014-03-21 01:50:00,322847.96801
2014-03-21 02:00:00,325189.26821
2014-03-21 02:10:00,333469.94347
2014-03-21 02:20:00,329002.39484
2014-03-21 02:30:00,324751.12794
2014-03-21 02:40:00,327874.63225
2014-03-21 02:50:00,325827.43897
2014-03-21 03:00:00,322210.99482
2014-03-21 03:10:00,298591.17559
2014-03-21 03:20:00,301830.87042
2014-03-21 03:30:00,312620.47463
2014-03-21 03:40:00,318950.88629
2014-03-21 03:50:00,324947.0019
2014-03-21 04:00:00,309302.24806
2014-03-21 04:10:00,300813.97605
2014-03-21 04:20:00,286931.14143
2014-03-21 04:30:00,294566.05946
2014-03-21 04:40:00,299905.43282
2014-03-21 04:50:00,295470.95078
2014-03-21 05:00:00,287083.01921
2014-03-21 05:10:00,295813.76876
2014-03-21 05:20:00,306210.21756
2014-03-21 05:30:00,315222.55631
2014-03-21 05:40:00,422849.84335
