TT,TX
2014-03-18 21:30:00,31814.33765
2014-03-18 21:45:00,30639.80434
2014-03-18 22:00:00,30545.15639
2014-03-18 22:15:00,30548.12148
2014-03-18 22:30:00,27829.95233
2014-03-18 22:45:00,28154.09592
2014-03-18 23:00:00,26650.33464
2014-03-18 23:15:00,24819.77863
2014-03-18 23:30:00,24019.07869
2014-03-18 23:45:00,23842.94936
2014-03-19 00:00:00,22969.65462
2014-03-19 00:15:00,23393.81157
2014-03-19 00:30:00,22332.71264
2014-03-19 00:45:00,21604.71494
2014-03-19 01:00:00,20344.95785
2014-03-19 01:15:00,20469.72699
2014-03-19 01:30:00,19758.46565
2014-03-19 01:45:00,19245.79376
2014-03-19 02:00:00,19059.04938
2014-03-19 02:15:00,19027.24747
2014-03-19 02:30:00,18058.21554
2014-03-19 02:45:00,18141.48387
2014-03-19 03:00:00,18418.93703
2014-03-19 03:15:00,18012.16782
2014-03-19 03:30:00,17254.00966
2014-03-19 03:45:00,17943.43485
2014-03-19 04:00:00,17525.99792
2014-03-19 04:15:00,18339.49483
2014-03-19 04:30:00,17625.06791
2014-03-19 04:45:00,17954.35638
2014-03-19 05:00:00,17220.44273
2014-03-19 05:15:00,18532.33947
2014-03-19 05:30:00,18160.26647
2014-03-19 05:45:00,18964.39072
2014-03-19 06:00:00,19635.84899
2014-03-19 06:15:00,18882.51094
2014-03-19 06:30:00,18096.54593
2014-03-19 06:45:00,19009.49303
2014-03-19 07:00:00,19650.7406
2014-03-19 07:15:00,21348.72837
2014-03-19 07:30:00,21839.73202
2014-03-19 07:45:00,22177.19006
2014-03-19 08:00:00,23555.73241
2014-03-19 08:15:00,25347.65134
2014-03-19 08:30:00,25157.74065
2014-03-19 08:45:00,25623.89572
2014-03-19 09:00:00,28591.42364
2014-03-19 09:15:00,33804.29686
2014-03-19 09:30:00,30242.58005
2014-03-19 09:45:00,32207.43836
2014-03-19 10:00:00,33496.23647
2014-03-19 10:15:00,32664.42535
2014-03-19 10:30:00,35023.36397
2014-03-19 10:45:00,33676.67489
