TT,CO
2014-03-18 21:30:00,262.0
2014-03-18 21:45:00,227.0
2014-03-18 22:00:00,405.0
2014-03-18 22:15:00,344.0
2014-03-18 22:30:00,224.0
2014-03-18 22:45:00,234.0
2014-03-18 23:00:00,313.0
2014-03-18 23:15:00,280.0
2014-03-18 23:30:00,260.0
2014-03-18 23:45:00,222.0
2014-03-19 00:00:00,338.0
2014-03-19 00:15:00,305.0
2014-03-19 00:30:00,258.0
2014-03-19 00:45:00,231.0
2014-03-19 01:00:00,366.0
2014-03-19 01:15:00,369.0
2014-03-19 01:30:00,239.0
2014-03-19 01:45:00,239.0
2014-03-19 02:00:00,328.0
2014-03-19 02:15:00,306.0
2014-03-19 02:30:00,232.0
2014-03-19 02:45:00,238.0
2014-03-19 03:00:00,323.0
2014-03-19 03:15:00,309.0
2014-03-19 03:30:00,329.0
2014-03-19 03:45:00,330.0
2014-03-19 04:00:00,332.0
2014-03-19 04:15:00,315.0
2014-03-19 04:30:00,273.0
2014-03-19 04:45:00,264.0
2014-03-19 05:00:00,347.0
2014-03-19 05:15:00,322.0
2014-03-19 05:30:00,274.0
2014-03-19 05:45:00,271.0
2014-03-19 06:00:00,370.0
2014-03-19 06:15:00,340.0
2014-03-19 06:30:00,274.0
2014-03-19 06:45:00,273.0
2014-03-19 07:00:00,361.0
2014-03-19 07:15:00,338.0
2014-03-19 07:30:00,318.0
2014-03-19 07:45:00,404.0
2014-03-19 08:00:00,476.0
2014-03-19 08:15:00,366.0
2014-03-19 08:30:00,308.0
2014-03-19 08:45:00,301.0
2014-03-19 09:00:00,404.0
2014-03-19 09:15:00,396.0
2014-03-19 09:30:00,375.0
2014-03-19 09:45:00,367.0
2014-03-19 10:00:00,457.0
2014-03-19 10:15:00,704.0
2014-03-19 10:30:00,688.0
2014-03-19 10:45:00,689.0
2014-03-19 11:00:00,731.0
2014-03-19 11:15:00,728.0
2014-03-19 11:30:00,593.0
2014-03-19 11:45:00,748.0
2014-03-19 12:00:00,617.0
2014-03-19 12:15:00,578.0
2014-03-19 12:30:00,552.0
2014-03-19 12:45:00,534.0
2014-03-19 13:00:00,627.0
2014-03-19 13:15:00,633.0
2014-03-19 13:30:00,608.0
2014-03-19 13:45:00,600.0
2014-03-19 14:00:00,642.0
2014-03-19 14:15:00,611.0
2014-03-19 14:30:00,580.0
2014-03-19 14:45:00,570.0
2014-03-19 15:00:00,451.0
2014-03-19 15:15:00,536.0
2014-03-19 15:30:00,422.0
2014-03-19 15:45:00,370.0
2014-03-19 16:00:00,468.0
2014-03-19 16:15:00,443.0
2014-03-19 16:30:00,420.0
2014-03-19 16:45:00,392.0
2014-03-19 17:00:00,478.0
2014-03-19 17:15:00,528.0
2014-03-19 17:30:00,388.0
2014-03-19 17:45:00,391.0
2014-03-19 18:00:00,476.0
2014-03-19 18:15:00,539.0
2014-03-19 18:30:00,432.0
2014-03-19 18:45:00,398.0
2014-03-19 19:00:00,583.0
2014-03-19 19:15:00,496.0
2014-03-19 19:30:00,456.0
2014-03-19 19:45:00,785.0
2014-03-19 20:00:00,668.0
2014-03-19 20:15:00,558.0
2014-03-19 20:30:00,734.0
2014-03-19 20:45:00,464.0
2014-03-19 21:00:00,489.0
2014-03-19 21:15:00,491.0
2014-03-19 21:30:00,415.0
2014-03-19 21:45:00,479.0
2014-03-19 22:00:00,502.0
2014-03-19 22:15:00,485.0
2014-03-19 22:30:00,501.0
2014-03-19 22:45:00,467.0
2014-03-19 23:00:00,512.0
2014-03-19 23:15:00,503.0
2014-03-19 23:30:00,518.0
2014-03-19 23:45:00,415.0
2014-03-20 00:00:00,478.0
2014-03-20 00:15:00,471.0
2014-03-20 00:30:00,509.0
2014-03-20 00:45:00,429.0
2014-03-20 01:00:00,464.0
2014-03-20 01:15:00,459.0
2014-03-20 01:30:00,455.0
2014-03-20 01:45:00,422.0
2014-03-20 02:00:00,474.0
2014-03-20 02:15:00,482.0
2014-03-20 02:30:00,493.0
2014-03-20 02:45:00,425.0
2014-03-20 03:00:00,477.0
2014-03-20 03:15:00,473.0
2014-03-20 03:30:00,474.0
2014-03-20 03:45:00,433.0
2014-03-20 04:00:00,498.0
2014-03-20 04:15:00,502.0
2014-03-20 04:30:00,549.0
2014-03-20 04:45:00,446.0
2014-03-20 05:00:00,754.0
2014-03-20 05:15:00,737.0
2014-03-20 05:30:00,743.0
2014-03-20 05:45:00,775.0
2014-03-20 06:00:00,722.0
2014-03-20 06:15:00,611.0
2014-03-20 06:30:00,618.0
2014-03-20 06:45:00,147.0
2014-03-20 07:00:00,3.0
2014-03-20 07:15:00,3.0
2014-03-20 07:30:00,3.0
2014-03-20 07:45:00,455.0
2014-03-20 08:00:00,797.0
2014-03-20 08:15:00,797.0
2014-03-20 08:30:00,797.0
2014-03-20 08:45:00,446.0
2014-03-20 09:00:00,173.0
2014-03-20 09:15:00,219.0
2014-03-20 09:30:00,141.0
2014-03-20 09:45:00,206.0
2014-03-20 10:00:00,126.0
2014-03-20 10:15:00,129.0
2014-03-20 10:30:00,141.0
2014-03-20 10:45:00,214.0
2014-03-20 11:00:00,149.0
2014-03-20 11:15:00,145.0
2014-03-20 11:30:00,176.0
2014-03-20 11:45:00,309.0
2014-03-20 12:00:00,158.0
2014-03-20 12:15:00,162.0
2014-03-20 12:30:00,176.0
2014-03-20 12:45:00,331.0
2014-03-20 13:00:00,177.0
2014-03-20 13:15:00,173.0
2014-03-20 13:30:00,181.0
2014-03-20 13:45:00,290.0
2014-03-20 14:00:00,197.0
2014-03-20 14:15:00,198.0
2014-03-20 14:30:00,204.0
2014-03-20 14:45:00,307.0
2014-03-20 15:00:00,188.0
2014-03-20 15:15:00,195.0
2014-03-20 15:30:00,219.0
2014-03-20 15:45:00,363.0
2014-03-20 16:00:00,213.0
2014-03-20 16:15:00,214.0
2014-03-20 16:30:00,230.0
2014-03-20 16:45:00,309.0
2014-03-20 17:00:00,242.0
2014-03-20 17:15:00,222.0
2014-03-20 17:30:00,221.0
2014-03-20 17:45:00,323.0
2014-03-20 18:00:00,235.0
2014-03-20 18:15:00,227.0
2014-03-20 18:30:00,241.0
2014-03-20 18:45:00,333.0
2014-03-20 19:00:00,248.0
2014-03-20 19:15:00,269.0
2014-03-20 19:30:00,269.0
2014-03-20 19:45:00,370.0
2014-03-20 20:00:00,264.0
2014-03-20 20:15:00,270.0
2014-03-20 20:30:00,283.0
2014-03-20 20:45:00,437.0
2014-03-20 21:00:00,329.0
2014-03-20 21:15:00,277.0
2014-03-20 21:30:00,274.0
2014-03-20 21:45:00,444.0
2014-03-20 22:00:00,269.0
2014-03-20 22:15:00,268.0
2014-03-20 22:30:00,296.0
2014-03-20 22:45:00,417.0
2014-03-20 23:00:00,382.0
2014-03-20 23:15:00,364.0
2014-03-20 23:30:00,313.0
2014-03-20 23:45:00,425.0
2014-03-21 00:00:00,316.0
2014-03-21 00:15:00,285.0
2014-03-21 00:30:00,292.0
2014-03-21 00:45:00,403.0
2014-03-21 01:00:00,311.0
2014-03-21 01:15:00,316.0
2014-03-21 01:30:00,418.0
2014-03-21 01:45:00,397.0
2014-03-21 02:00:00,309.0
2014-03-21 02:15:00,315.0
2014-03-21 02:30:00,298.0
2014-03-21 02:45:00,387.0
2014-03-21 03:00:00,317.0
2014-03-21 03:15:00,325.0
2014-03-21 03:30:00,405.0
2014-03-21 03:45:00,419.0
2014-03-21 04:00:00,324.0
2014-03-21 04:15:00,327.0
2014-03-21 04:30:00,336.0
2014-03-21 04:45:00,538.0
2014-03-21 05:00:00,497.0
2014-03-21 05:15:00,337.0
2014-03-21 05:30:00,345.0
2014-03-21 05:45:00,454.0
2014-03-21 06:00:00,367.0
2014-03-21 06:15:00,686.0
2014-03-21 06:30:00,364.0
2014-03-21 06:45:00,485.0
2014-03-21 07:00:00,400.0
2014-03-21 07:15:00,413.0
2014-03-21 07:30:00,397.0
2014-03-21 07:45:00,527.0
2014-03-21 08:00:00,420.0
2014-03-21 08:15:00,423.0
2014-03-21 08:30:00,405.0
2014-03-21 08:45:00,596.0
2014-03-21 09:00:00,479.0
2014-03-21 09:15:00,427.0
2014-03-21 09:30:00,437.0
2014-03-21 09:45:00,612.0
2014-03-21 10:00:00,440.0
2014-03-21 10:15:00,487.0
2014-03-21 10:30:00,456.0
2014-03-21 10:45:00,574.0
2014-03-21 11:00:00,487.0
2014-03-21 11:15:00,461.0
2014-03-21 11:30:00,556.0
2014-03-21 11:45:00,543.0
2014-03-21 12:00:00,483.0
2014-03-21 12:15:00,475.0
2014-03-21 12:30:00,602.0
2014-03-21 12:45:00,612.0
2014-03-21 13:00:00,523.0
2014-03-21 13:15:00,623.0
2014-03-21 13:30:00,687.0
2014-03-21 13:45:00,539.0
2014-03-21 14:00:00,502.0
2014-03-21 14:15:00,616.0
2014-03-21 14:30:00,552.0
2014-03-21 14:45:00,543.0
2014-03-21 15:00:00,612.0
2014-03-21 15:15:00,674.0
2014-03-21 15:30:00,516.0
2014-03-21 15:45:00,624.0
2014-03-21 16:00:00,597.0
2014-03-21 16:15:00,511.0
2014-03-21 16:30:00,526.0
2014-03-21 16:45:00,620.0
2014-03-21 17:00:00,520.0
2014-03-21 17:15:00,522.0
2014-03-21 17:30:00,573.0
2014-03-21 17:45:00,664.0
2014-03-21 18:00:00,568.0
2014-03-21 18:15:00,570.0
2014-03-21 18:30:00,631.0
2014-03-21 18:45:00,564.0
2014-03-21 19:00:00,547.0
2014-03-21 19:15:00,572.0
2014-03-21 19:30:00,654.0
2014-03-21 19:45:00,625.0
2014-03-21 20:00:00,645.0
2014-03-21 20:15:00,657.0
2014-03-21 20:30:00,553.0
2014-03-21 20:45:00,581.0
2014-03-21 21:00:00,658.0
2014-03-21 21:15:00,583.0
2014-03-21 21:30:00,576.0
2014-03-21 21:45:00,725.0
2014-03-21 22:00:00,579.0
2014-03-21 22:15:00,583.0
2014-03-21 22:30:00,607.0
2014-03-21 22:45:00,718.0
2014-03-21 23:00:00,725.0
2014-03-21 23:15:00,553.0
2014-03-21 23:30:00,641.0
2014-03-21 23:45:00,643.0
2014-03-22 00:00:00,562.0
2014-03-22 00:15:00,559.0
2014-03-22 00:30:00,593.0
2014-03-22 00:45:00,647.0
2014-03-22 01:00:00,575.0
2014-03-22 01:15:00,565.0
2014-03-22 01:30:00,655.0
2014-03-22 01:45:00,633.0
2014-03-22 02:00:00,564.0
2014-03-22 02:15:00,571.0
2014-03-22 02:30:00,612.0
2014-03-22 02:45:00,663.0
2014-03-22 03:00:00,582.0
2014-03-22 03:15:00,578.0
2014-03-22 03:30:00,797.0
2014-03-22 03:45:00,797.0
2014-03-22 04:00:00,797.0
2014-03-22 04:15:00,797.0
2014-03-22 04:30:00,797.0
2014-03-22 04:45:00,797.0
2014-03-22 05:00:00,797.0
2014-03-22 05:15:00,797.0
2014-03-22 05:30:00,797.0
2014-03-22 05:45:00,797.0
2014-03-22 06:00:00,797.0
2014-03-22 06:15:00,797.0
2014-03-22 06:30:00,797.0
2014-03-22 06:45:00,797.0
2014-03-22 07:00:00,797.0
2014-03-22 07:15:00,797.0
2014-03-22 07:30:00,797.0
2014-03-22 07:45:00,797.0
2014-03-22 08:00:00,797.0
2014-03-22 08:15:00,797.0
2014-03-22 08:30:00,797.0
2014-03-22 08:45:00,797.0
2014-03-22 09:00:00,797.0
2014-03-22 09:15:00,797.0
2014-03-22 09:30:00,797.0
2014-03-22 09:45:00,797.0
2014-03-22 10:00:00,797.0
2014-03-22 10:15:00,797.0
2014-03-22 10:30:00,798.0
2014-03-22 10:45:00,797.0
2014-03-22 11:00:00,797.0
2014-03-22 11:15:00,797.0
2014-03-22 11:30:00,797.0
2014-03-22 11:45:00,797.0
2014-03-22 12:00:00,797.0
2014-03-22 12:15:00,798.0
2014-03-22 12:30:00,797.0
2014-03-22 12:45:00,797.0
2014-03-22 13:00:00,493.0
2014-03-22 13:15:00,264.0
2014-03-22 13:30:00,269.0
2014-03-22 13:45:00,212.0
2014-03-22 14:00:00,192.0
2014-03-22 14:15:00,191.0
2014-03-22 14:30:00,178.0
2014-03-22 14:45:00,176.0
2014-03-22 15:00:00,160.0
2014-03-22 15:15:00,208.0
2014-03-22 15:30:00,187.0
2014-03-22 15:45:00,142.0
2014-03-22 16:00:00,224.0
2014-03-22 16:15:00,174.0
2014-03-22 16:30:00,178.0
2014-03-22 16:45:00,159.0
2014-03-22 17:00:00,238.0
2014-03-22 17:15:00,178.0
2014-03-22 17:30:00,170.0
2014-03-22 17:45:00,156.0
2014-03-22 18:00:00,234.0
2014-03-22 18:15:00,164.0
2014-03-22 18:30:00,169.0
2014-03-22 18:45:00,179.0
2014-03-22 19:00:00,194.0
2014-03-22 19:15:00,182.0
2014-03-22 19:30:00,181.0
2014-03-22 19:45:00,202.0
2014-03-22 20:00:00,333.0
2014-03-22 20:15:00,314.0
2014-03-22 20:30:00,320.0
2014-03-22 20:45:00,311.0
2014-03-22 21:00:00,290.0
2014-03-22 21:15:00,273.0
